time_days,mse_c,mse_h,old_c,old_h
2.480000000000000000e+03,4.879366315435618162e-06,6.276280146266799420e-06,5.851250898558646441e-05,1.730793883325532079e-05
2.490000000000000000e+03,4.771015483129303902e-06,6.250989827094599605e-06,5.815493568661622703e-05,1.721257649478502572e-05
2.500000000000000000e+03,4.646591605705907568e-06,6.207331352925393730e-06,5.782199150417000055e-05,1.709405478322878480e-05
2.510000000000000000e+03,4.519670255831442773e-06,6.144508006400428712e-06,5.751521166530437768e-05,1.697801781119778752e-05
2.520000000000000000e+03,4.391464699438074604e-06,6.064811714168172330e-06,5.723640060750767589e-05,1.685139977780636400e-05
2.530000000000000000e+03,4.259537490725051612e-06,5.976200554869137704e-06,5.698556196875870228e-05,1.671922291279770434e-05
2.540000000000000000e+03,4.130209617869695649e-06,5.873327609151601791e-06,5.676239379681646824e-05,1.657243046793155372e-05
2.550000000000000000e+03,4.011428700323449448e-06,5.767887614638311788e-06,5.656585199176333845e-05,1.642154529690742493e-05
2.560000000000000000e+03,3.899590865330537781e-06,5.655776021740166470e-06,5.639498704113066196e-05,1.625909499125555158e-05
2.570000000000000000e+03,3.797662429860793054e-06,5.546291504288092256e-06,5.624779805657453835e-05,1.610179242561571300e-05
2.580000000000000000e+03,3.700268280226737261e-06,5.440236691356403753e-06,5.612245877273380756e-05,1.592628359503578395e-05
