time_days,mse_c,mse_h,old_c,old_h
1.290000000000000000e+03,2.178844442823901772e-05,7.303406164282932878e-05,1.313872635364532471e-04,3.723857662407681346e-05
1.300000000000000000e+03,2.081920865748543292e-05,7.247603934956714511e-05,1.278254494536668062e-04,3.644113166956230998e-05
1.310000000000000000e+03,1.989935844903811812e-05,7.183489651652052999e-05,1.244246086571365595e-04,3.566527811926789582e-05
1.320000000000000000e+03,1.907255864352919161e-05,7.109948637662455440e-05,1.211800190503709018e-04,3.488474249024875462e-05
1.330000000000000000e+03,1.831563349696807563e-05,7.026690582279115915e-05,1.180834660772234201e-04,3.412363730603829026e-05
1.340000000000000000e+03,1.763295949785970151e-05,6.934664270374923944e-05,1.151283213403075933e-04,3.336982626933604479e-05
1.350000000000000000e+03,1.704582609818316996e-05,6.835772364865988493e-05,1.123079782701097429e-04,3.263879625592380762e-05
1.360000000000000000e+03,1.652922946959733963e-05,6.728472362738102674e-05,1.096148698707111180e-04,3.192779331584461033e-05
1.370000000000000000e+03,1.607510239409748465e-05,6.616763130296021700e-05,1.070416328730061650e-04,3.125082366750575602e-05
1.380000000000000000e+03,1.568768493598327041e-05,6.499845767393708229e-05,1.045794488163664937e-04,3.059108712477609515e-05
1.390000000000000000e+03,1.536075433250516653e-05,6.379130354616791010e-05,1.022188371280208230e-04,2.995641261804848909e-05
1.400000000000000000e+03,1.508439709141384810e-05,6.256420601857826114e-05,9.994859283324331045e-05,2.934984877356328070e-05
1.410000000000000000e+03,1.485737902839900926e-05,6.131423288024961948e-05,9.776048682397231460e-05,2.877874612750019878e-05
1.420000000000000000e+03,1.465832428948488086e-05,6.001190558890812099e-05,9.565040090819820762e-05,2.824797957146074623e-05
1.430000000000000000e+03,1.449483534088358283e-05,5.871441680938005447e-05,9.361758566228672862e-05,2.774994936771690845e-05
1.440000000000000000e+03,1.436868114979006350e-05,5.738869367633014917e-05,9.166295785689726472e-05,2.728138497332111001e-05
1.450000000000000000e+03,1.425611117156222463e-05,5.604941179626621306e-05,8.978529513115063310e-05,2.684828723431564867e-05
1.460000000000000000e+03,1.416088343830779195e-05,5.471172335091978312e-05,8.798352791927754879e-05,2.645263521117158234e-05
1.470000000000000000e+03,1.409548985975561664e-05,5.335629612090997398e-05,8.625644841231405735e-05,2.609955481602810323e-05
1.480000000000000000e+03,1.403909300279337913e-05,5.201032035984098911e-05,8.459857781417667866e-05,2.576289625721983612e-05
1.490000000000000000e+03,1.398796121065970510e-05,5.067912570666521788e-05,8.300827175844460726e-05,2.546040923334658146e-05
1.500000000000000000e+03,1.396538209519349039e-05,4.939992504660040140e-05,8.148365304805338383e-05,2.515720552764832973e-05
1.510000000000000000e+03,1.393101047142408788e-05,4.818006709683686495e-05,8.003527182154357433e-05,2.486165612936019897e-05
1.520000000000000000e+03,1.389878616464557126e-05,4.701127909356728196e-05,7.866369560360908508e-05,2.455771209497470409e-05
1.530000000000000000e+03,1.387060183333232999e-05,4.588999581756070256e-05,7.736814586678519845e-05,2.427551953587681055e-05
1.540000000000000000e+03,1.385525047226110473e-05,4.481296491576358676e-05,7.613960769958794117e-05,2.400589801254682243e-05
1.550000000000000000e+03,1.382693790219491348e-05,4.378312587505206466e-05,7.497571641579270363e-05,2.373303505009971559e-05
1.560000000000000000e+03,1.378875458613038063e-05,4.280236316844820976e-05,7.387440564343705773e-05,2.347087865928187966e-05
1.570000000000000000e+03,1.374448038404807448e-05,4.187070589978247881e-05,7.283249578904360533e-05,2.321480496902950108e-05
1.580000000000000000e+03,1.367590539302909747e-05,4.099624493392184377e-05,7.184922287706285715e-05,2.295723970746621490e-05
1.590000000000000000e+03,1.359937505185371265e-05,4.018955951323732734e-05,7.093562453519552946e-05,2.266824594698846340e-05
1.600000000000000000e+03,1.351699484075652435e-05,3.944310083170421422e-05,7.009322871454060078e-05,2.236413820355664939e-05
1.610000000000000000e+03,1.342408540949691087e-05,3.873241803376004100e-05,6.931956158950924873e-05,2.205259079346433282e-05
1.620000000000000000e+03,1.330184932157862931e-05,3.805533924605697393e-05,6.859866698505356908e-05,2.175267945858649909e-05
1.630000000000000000e+03,1.316742054768837988e-05,3.740283500519581139e-05,6.792161730118095875e-05,2.146459155483171344e-05
1.640000000000000000e+03,1.301980228163301945e-05,3.679993824334815145e-05,6.728676089551299810e-05,2.118408519891090691e-05
1.650000000000000000e+03,1.284930294787045568e-05,3.620833740569651127e-05,6.669174763374030590e-05,2.089044573949649930e-05
1.660000000000000000e+03,1.266651270270813257e-05,3.564737198757939041e-05,6.614611629629507661e-05,2.057672827504575253e-05
1.670000000000000000e+03,1.246905048901680857e-05,3.511323302518576384e-05,6.565170770045369864e-05,2.024036621151026338e-05
1.680000000000000000e+03,1.226255426445277408e-05,3.460417428868822753e-05,6.520260649267584085e-05,1.991882709262426943e-05
1.690000000000000000e+03,1.204841009894153103e-05,3.409455530345439911e-05,6.478192517533898354e-05,1.960594818228855729e-05
1.700000000000000000e+03,1.182294181489851326e-05,3.359938273206353188e-05,6.437866977648809552e-05,1.931967926793731749e-05
1.710000000000000000e+03,1.159745625045616180e-05,3.311558248242363334e-05,6.399399717338383198e-05,1.903700467664748430e-05
1.720000000000000000e+03,1.135973070631735027e-05,3.264332553953863680e-05,6.363335705827921629e-05,1.874631561804562807e-05
1.730000000000000000e+03,1.112968857341911644e-05,3.216816548956558108e-05,6.330097676254808903e-05,1.843618701968807727e-05
1.740000000000000000e+03,1.092162347049452364e-05,3.170985291944816709e-05,6.299032247625291348e-05,1.813916605897247791e-05
1.750000000000000000e+03,1.069712834578240290e-05,3.125329385511577129e-05,6.269008008530363441e-05,1.785428139555733651e-05
1.760000000000000000e+03,1.048874946718569845e-05,3.081321119680069387e-05,6.239446520339697599e-05,1.760034137987531722e-05
1.770000000000000000e+03,1.030432304105488583e-05,3.038232898688875139e-05,6.210489664226770401e-05,1.734362376737408340e-05
1.780000000000000000e+03,1.013379642245126888e-05,2.994323222083039582e-05,6.182499055285006762e-05,1.709081152512226254e-05
1.790000000000000000e+03,9.994573701987974346e-06,2.951941678475122899e-05,6.155874143587425351e-05,1.681282810750417411e-05
1.800000000000000000e+03,9.881046935333870351e-06,2.910497823904734105e-05,6.130414840299636126e-05,1.654918378335423768e-05
1.810000000000000000e+03,9.798922292247880250e-06,2.870747266570106149e-05,6.105707143433392048e-05,1.629277721804101020e-05
1.820000000000000000e+03,9.748152479005511850e-06,2.831570600392296910e-05,6.080201637814752758e-05,1.606659861863590777e-05
1.830000000000000000e+03,9.730962119647301733e-06,2.794830834318418056e-05,6.054161349311470985e-05,1.584144956723321229e-05
1.840000000000000000e+03,9.759298336575739086e-06,2.758551090664695948e-05,6.028402276569977403e-05,1.561627504997886717e-05
1.850000000000000000e+03,9.820319974096491933e-06,2.725201375142205507e-05,6.004073657095432281e-05,1.537888601887971163e-05
1.860000000000000000e+03,9.915444024954922497e-06,2.691568624868523329e-05,5.980717833153903484e-05,1.513729148427955806e-05
1.870000000000000000e+03,1.006413731374777853e-05,2.661720827745739371e-05,5.957643224974162877e-05,1.490246540924999863e-05
1.880000000000000000e+03,1.023044387693516910e-05,2.632415453263092786e-05,5.933825741522014141e-05,1.470104143663775176e-05
