time_days,mse_c,mse_h,old_c,old_h
1.860000000000000000e+03,5.917674457123212051e-07,1.307656845028759562e-07,5.980717469356022775e-05,1.513729148427955806e-05
1.870000000000000000e+03,6.291122076618194114e-07,1.511476170890091453e-07,5.957642861176282167e-05,1.490246813773410395e-05
1.880000000000000000e+03,6.858091410322231241e-07,1.830795497426151996e-07,5.933825741522014141e-05,1.470104143663775176e-05
1.890000000000000000e+03,7.611124601680785418e-07,2.242371976990398252e-07,5.909852916374802589e-05,1.450207673769909889e-05
1.900000000000000000e+03,8.547282277504564263e-07,2.797110596475249622e-07,5.887372753932140768e-05,1.429680560249835253e-05
1.910000000000000000e+03,9.656998827267671004e-07,3.459327899690833874e-07,5.866964056622236967e-05,1.406946103088557720e-05
1.920000000000000000e+03,1.091864874069869984e-06,4.217287710162054282e-07,5.848224827786907554e-05,1.386241820000577718e-05
1.930000000000000000e+03,1.230667749041458592e-06,5.086248506813717540e-07,5.829943256685510278e-05,1.366073411190882325e-05
1.940000000000000000e+03,1.380323851662978996e-06,5.986667019897140563e-07,5.812403105664998293e-05,1.349136073258705437e-05
1.950000000000000000e+03,1.537326852485421114e-06,6.974522079872258473e-07,5.796566983917728066e-05,1.328882899542804807e-05
1.960000000000000000e+03,1.698171445241314359e-06,8.049152029343531467e-07,5.783588494523428380e-05,1.310103834839537740e-05
1.970000000000000000e+03,1.860435077105648816e-06,9.108366612053941935e-07,5.773880184278823435e-05,1.289717602048767731e-05
1.980000000000000000e+03,2.022822400249424390e-06,1.016804276332550216e-06,5.766932008555158973e-05,1.271994551643729210e-05
1.990000000000000000e+03,2.180521960326586850e-06,1.112397171709744725e-06,5.761739521403796971e-05,1.254554535989882424e-05
2.000000000000000000e+03,2.324297611266956665e-06,1.207883315146318637e-06,5.759272607974708080e-05,1.235624949913471937e-05
2.010000000000000000e+03,2.450826968924957328e-06,1.295622723773703910e-06,5.760560816270299256e-05,1.216012697113910690e-05
2.020000000000000000e+03,2.554470256654894911e-06,1.374889620819885749e-06,5.765635796706192195e-05,1.195436198031529784e-05
2.030000000000000000e+03,2.628491074574412778e-06,1.451465095669846050e-06,5.774391320301219821e-05,1.174130647996207699e-05
2.040000000000000000e+03,2.664567091414937750e-06,1.517828764008299913e-06,5.787383997812867165e-05,1.151480228145373985e-05
2.050000000000000000e+03,2.649355337780434638e-06,1.587437168382166419e-06,5.805906766909174621e-05,1.126529969042167068e-05
2.060000000000000000e+03,2.590680651337606832e-06,1.647647422942100093e-06,5.830382724525406957e-05,1.101804355130298063e-05
2.070000000000000000e+03,2.490638507879339159e-06,1.681277467469044495e-06,5.859214434167370200e-05,1.079798403225140646e-05
2.080000000000000000e+03,2.364775809837738052e-06,1.683942855379427783e-06,5.890312604606151581e-05,1.062322098732693121e-05
2.090000000000000000e+03,2.215506128777633421e-06,1.646509076635993551e-06,5.921312549617141485e-05,1.049788079399149865e-05
2.100000000000000000e+03,2.047972429863875732e-06,1.565992533869575709e-06,5.951466664555482566e-05,1.040208280755905434e-05
2.110000000000000000e+03,1.871095264505129308e-06,1.446376018066075630e-06,5.980362402624450624e-05,1.034502929542213678e-05
2.120000000000000000e+03,1.692858404567232355e-06,1.293322725359757897e-06,6.007648698869161308e-05,1.033330408972688019e-05
2.130000000000000000e+03,1.520155478829110507e-06,1.111916049012506846e-06,6.033394674886949360e-05,1.036452795233344659e-05
2.140000000000000000e+03,1.359271777801041026e-06,9.142310659626673441e-07,6.057738937670364976e-05,1.044607506628381088e-05
2.150000000000000000e+03,1.213826863022404723e-06,7.184657988545950502e-07,6.081196988816373050e-05,1.057856024999637157e-05
2.160000000000000000e+03,1.085785470422706567e-06,5.397731683842721395e-07,6.104181375121697783e-05,1.076912212738534436e-05
2.170000000000000000e+03,9.762770787347108126e-07,3.976191749188728863e-07,6.127088272478431463e-05,1.100079862226266414e-05
2.180000000000000000e+03,8.854315751705144066e-07,3.049277097488811705e-07,6.150352419354021549e-05,1.128016083384864032e-05
2.190000000000000000e+03,8.135731377478805371e-07,2.699906076486513484e-07,6.174302689032629132e-05,1.160862029792042449e-05
2.200000000000000000e+03,7.604459142385167070e-07,2.908952296820643824e-07,6.199024937814101577e-05,1.197811616293620318e-05
2.210000000000000000e+03,7.245020015034242533e-07,3.598436819629569072e-07,6.224587559700012207e-05,1.237435571965761483e-05
2.220000000000000000e+03,7.029915423117927276e-07,4.582546750953042647e-07,6.250804290175437927e-05,1.278970285056857392e-05
